gene,mean_fc,sd_fc,n,sem_fc
APP,1.5368751812880126,NA,1,NA
C9orf72,1.4339552480158295,NA,1,NA
GRN,1.7654059925813093,NA,1,NA
MAPT,1.0139594797900284,NA,1,NA
SNCA,0.2534898699475071,NA,1,NA
